iter	Passed	Remaining
350	5222	9656
351	5232	9632
352	5242	9608
353	5256	9593
354	5273	9581
355	5289	9568
356	5303	9551
357	5312	9527
358	5320	9499
359	5330	9475
360	5337	9448
361	5348	9427
362	5360	9406
363	5368	9380
364	5378	9356
365	5386	9329
366	5395	9306
367	5403	9280
368	5413	9256
369	5423	9234
370	5431	9208
371	5441	9185
372	5449	9160
373	5459	9137
374	5466	9111
375	5476	9088
376	5484	9062
377	5494	9041
378	5503	9017
379	5511	8992
380	5520	8968
381	5528	8943
382	5537	8921
383	5547	8898
384	5557	8877
385	5565	8852
386	5575	8831
387	5583	8806
388	5592	8784
389	5600	8759
390	5609	8737
391	5619	8715
392	5627	8691
393	5637	8671
394	5647	8650
395	5656	8627
396	5664	8603
397	5673	8582
398	5683	8560
399	5691	8537
400	5701	8516
401	5709	8493
402	5719	8473
403	5727	8449
404	5736	8428
405	5745	8405
406	5753	8383
407	5762	8360
408	5771	8339
409	5781	8319
410	5790	8297
411	5799	8277
412	5809	8257
413	5820	8238
414	5830	8218
415	5839	8197
416	5852	8182
417	5865	8167
418	5876	8147
419	5888	8132
420	5899	8112
421	5911	8097
422	5926	8084
423	5940	8070
424	5954	8056
425	5968	8042
426	5982	8027
427	6000	8019
428	6016	8008
429	6032	7996
430	6050	7987
431	6068	7978
432	6082	7964
433	6097	7951
434	6114	7941
435	6127	7926
436	6138	7908
437	6153	7895
438	6167	7881
439	6180	7866
440	6201	7860
441	6218	7850
442	6233	7837
443	6246	7821
444	6257	7804
445	6268	7786
446	6280	7769
447	6291	7751
448	6302	7733
449	6315	7719
450	6327	7702
451	6339	7685
452	6350	7667
453	6362	7651
454	6373	7633
455	6382	7614
456	6393	7596
457	6403	7577
458	6413	7558
459	6425	7543
460	6436	7525
461	6447	7507
462	6459	7491
463	6470	7474
464	6481	7457
465	6493	7441
466	6505	7424
467	6517	7408
468	6529	7392
469	6541	7376
470	6554	7361
471	6565	7344
472	6578	7329
473	6590	7313
474	6601	7296
475	6610	7277
476	6621	7259
477	6630	7240
478	6639	7221
479	6648	7203
480	6657	7183
481	6667	7165
482	6677	7147
483	6688	7130
484	6698	7113
485	6711	7098
486	6726	7085
487	6743	7074
488	6761	7066
489	6776	7053
490	6793	7042
491	6811	7033
492	6826	7020
493	6840	7006
494	6854	6992
495	6870	6981
496	6887	6970
497	6903	6959
498	6913	6941
499	6931	6931
500	6955	6927
501	6972	6916
502	7005	6921
503	7045	6933
504	7076	6935
505	7093	6925
506	7104	6908
507	7129	6905
508	7144	6891
509	7159	6878
510	7175	6866
511	7190	6853
512	7204	6839
513	7217	6824
514	7231	6810
515	7244	6795
516	7258	6781
517	7274	6769
518	7287	6753
519	7300	6739
520	7312	6722
521	7323	6705
522	7336	6691
523	7353	6680
524	7369	6667
525	7379	6649
526	7394	6636
527	7409	6623
528	7422	6608
529	7436	6594
530	7448	6578
531	7460	6562
532	7470	6545
533	7484	6531
534	7496	6515
535	7511	6502
536	7527	6490
537	7540	6474
538	7551	6458
539	7562	6441
540	7575	6426
541	7594	6417
542	7608	6403
543	7623	6390
544	7635	6374
545	7647	6358
546	7658	6342
547	7671	6327
548	7688	6315
549	7701	6301
550	7711	6284
551	7724	6269
552	7737	6254
553	7749	6239
554	7762	6224
555	7779	6212
556	7794	6199
557	7806	6183
558	7819	6168
559	7830	6152
560	7841	6136
561	7854	6121
562	7867	6106
563	7879	6090
564	7889	6074
565	7903	6060
566	7917	6046
567	7933	6033
568	7945	6018
569	7956	6002
570	7968	5986
571	7979	5970
572	7989	5953
573	8001	5938
574	8014	5923
575	8026	5908
576	8036	5891
577	8049	5876
578	8058	5859
579	8067	5841
580	8080	5827
581	8089	5809
582	8099	5793
583	8110	5777
584	8120	5760
585	8131	5744
586	8142	5728
587	8152	5712
588	8164	5696
589	8176	5682
590	8189	5667
591	8200	5651
592	8214	5637
593	8225	5622
594	8234	5605
595	8244	5588
596	8254	5572
597	8263	5555
598	8274	5539
599	8282	5521
600	8292	5505
601	8302	5488
602	8310	5471
603	8319	5454
604	8327	5437
605	8337	5421
606	8347	5404
607	8359	5389
608	8370	5374
609	8381	5358
610	8391	5342
611	8402	5327
612	8412	5311
613	8424	5296
614	8435	5280
615	8450	5267
616	8498	5275
617	8518	5265
618	8537	5254
619	8547	5239
620	8572	5231
621	8586	5217
622	8596	5201
623	8607	5186
624	8619	5171
625	8628	5154
626	8639	5139
627	8652	5125
628	8662	5109
629	8673	5093
630	8686	5079
631	8700	5066
632	8711	5050
633	8723	5035
634	8735	5021
635	8745	5005
636	8754	4988
637	8765	4973
638	8773	4956
639	8783	4940
640	8795	4925
641	8803	4909
642	8813	4893
643	8821	4876
644	8849	4870
645	8857	4853
646	8866	4837
647	8876	4821
648	8886	4806
649	8895	4790
650	8903	4773
651	8913	4757
652	8921	4740
653	8932	4725
654	8942	4710
655	8950	4693
656	8961	4678
657	8974	4664
658	8985	4649
659	8997	4635
660	9010	4621
661	9024	4607
662	9036	4593
663	9048	4578
664	9061	4564
665	9075	4551
666	9092	4539
667	9106	4526
668	9124	4514
669	9135	4499
670	9146	4484
671	9159	4470
672	9173	4457
673	9187	4444
674	9203	4431
675	9214	4416
676	9229	4403
677	9241	4388
678	9251	4373
679	9264	4359
680	9280	4347
681	9293	4333
682	9305	4319
683	9316	4304
684	9330	4290
685	9344	4277
686	9358	4263
687	9372	4250
688	9385	4236
689	9396	4221
690	9409	4207
691	9422	4193
692	9434	4179
693	9444	4164
694	9454	4149
695	9466	4134
696	9477	4120
697	9489	4105
698	9499	4090
699	9509	4075
700	9523	4062
701	9538	4049
702	9552	4035
703	9564	4021
704	9575	4006
705	9586	3992
706	9597	3977
707	9606	3961
708	9617	3947
709	9631	3933
710	9644	3920
711	9657	3906
712	9671	3892
713	9685	3879
714	9696	3864
715	9708	3850
716	9722	3837
717	9736	3824
718	9749	3810
719	9762	3796
720	9772	3781
721	9784	3767
722	9798	3754
723	9811	3740
724	9821	3725
725	9833	3711
726	9848	3698
727	9858	3683
728	9870	3669
729	9885	3656
730	9897	3642
731	9915	3630
732	9930	3617
733	9948	3605
734	9963	3592
735	9979	3579
736	9996	3567
737	10014	3555
738	10028	3541
739	10042	3528
740	10059	3515
741	10074	3503
742	10092	3490
743	10108	3478
744	10120	3464
745	10134	3450
746	10148	3437
747	10163	3423
748	10180	3411
749	10195	3398
750	10210	3385
751	10225	3372
752	10240	3359
753	10254	3345
754	10265	3331
755	10276	3316
756	10288	3302
757	10299	3288
758	10310	3273
759	10321	3259
760	10332	3245
761	10345	3231
762	10357	3217
763	10370	3203
764	10385	3190
765	10398	3176
766	10414	3163
767	10425	3149
768	10437	3135
769	10451	3121
770	10468	3109
771	10484	3096
772	10496	3082
773	10513	3069
774	10524	3055
775	10535	3041
776	10547	3027
777	10561	3013
778	10574	3000
779	10589	2986
780	10606	2974
781	10622	2961
782	10637	2947
783	10648	2933
784	10664	2920
785	10679	2907
786	10694	2894
787	10711	2881
788	10727	2868
789	10738	2854
790	10750	2840
791	10767	2827
792	10780	2814
793	10798	2801
794	10856	2799
795	10898	2793
796	10910	2778
797	10924	2765
798	10937	2751
799	10955	2738
800	10967	2724
801	10984	2711
802	10996	2697
803	11009	2683
804	11022	2669
805	11037	2656
806	11052	2643
807	11063	2629
808	11077	2615
809	11090	2601
810	11103	2587
811	11115	2573
812	11127	2559
813	11138	2545
814	11150	2531
815	11164	2517
816	11178	2503
817	11188	2489
818	11200	2475
819	11214	2461
820	11228	2448
821	11239	2433
822	11254	2420
823	11267	2406
824	11281	2392
825	11295	2379
826	11310	2365
827	11320	2351
828	11334	2338
829	11349	2324
830	11367	2311
831	11380	2297
832	11393	2284
833	11409	2271
834	11426	2257
835	11436	2243
836	11449	2229
837	11465	2216
838	11481	2203
839	11494	2189
840	11507	2175
841	11539	2165
842	11554	2151
843	11572	2138
844	11592	2126
845	11605	2112
846	11615	2098
847	11626	2083
848	11642	2070
849	11652	2056
850	11662	2042
851	11674	2027
852	11685	2013
853	11696	1999
854	11708	1985
855	11720	1971
856	11731	1957
857	11744	1943
858	11758	1930
859	11774	1916
860	11792	1903
861	11804	1889
862	11814	1875
863	11829	1862
864	11843	1848
865	11858	1834
866	11875	1821
867	11887	1807
868	11896	1793
869	11907	1779
870	11919	1765
871	11931	1751
872	11949	1738
873	11960	1724
874	11973	1710
875	11987	1696
876	11999	1682
877	12008	1668
878	12025	1655
879	12053	1643
880	12090	1633
881	12107	1619
882	12118	1605
883	12132	1592
884	12144	1578
885	12168	1565
886	12184	1552
887	12199	1538
888	12212	1524
889	12226	1511
890	12243	1497
891	12261	1484
892	12273	1470
893	12287	1456
894	12302	1443
895	12316	1429
896	12327	1415
897	12337	1401
898	12348	1387
899	12364	1373
900	12380	1360
901	12391	1346
902	12400	1332
903	12414	1318
904	12428	1304
905	12437	1290
906	12447	1276
907	12461	1262
908	12481	1249
909	12495	1235
910	12511	1222
911	12526	1208
912	12536	1194
913	12548	1180
914	12561	1166
915	12572	1152
916	12583	1138
917	12606	1126
918	12618	1112
919	12633	1098
920	12646	1084
921	12658	1070
922	12671	1057
923	12688	1043
924	12698	1029
925	12710	1015
926	12722	1001
927	12735	988
928	12749	974
929	12763	960
930	12777	946
931	12794	933
932	12809	919
933	12822	906
934	12834	892
935	12844	878
936	12858	864
937	12872	850
938	12882	836
939	12892	822
940	12906	809
941	12922	795
942	12940	782
943	12961	768
944	12974	755
945	12988	741
946	12999	727
947	13009	713
948	13024	699
949	13037	686
950	13052	672
951	13064	658
952	13074	644
953	13091	631
954	13103	617
955	13118	603
956	13130	590
957	13143	576
958	13158	562
959	13170	548
960	13182	534
961	13197	521
962	13209	507
963	13219	493
964	13233	479
965	13243	466
966	13254	452
967	13267	438
968	13280	424
969	13291	411
970	13302	397
971	13316	383
972	13327	369
973	13338	356
974	13348	342
975	13359	328
976	13374	314
977	13386	301
978	13399	287
979	13413	273
980	13423	259
981	13435	246
982	13447	232
983	13462	218
984	13477	205
985	13491	191
986	13504	177
987	13515	164
988	13528	150
989	13540	136
990	13553	123
991	13565	109
992	13578	95
993	13592	82
994	13604	68
995	13614	54
996	13627	41
997	13641	27
998	13654	13
999	13663	0
