iter	Logloss
0	0.6331327528
1	0.5793491668
2	0.532883747
3	0.4969380079
4	0.4647759799
5	0.4370446043
6	0.4132167383
7	0.3942373009
8	0.3790044165
9	0.3648965738
10	0.3544676993
11	0.3455285238
12	0.3365977936
13	0.329079403
14	0.3225231946
15	0.3181817537
16	0.3135472137
17	0.3097262714
18	0.3063538528
19	0.3025319029
20	0.2999390874
21	0.2972195495
22	0.2949846723
23	0.2933543471
24	0.2915287062
25	0.2899147757
26	0.2883006893
27	0.2870095898
28	0.286046115
29	0.2851211186
30	0.2841886452
31	0.2832644426
32	0.2826218532
33	0.2817754126
34	0.2809194211
35	0.2804447755
36	0.2799189281
37	0.2793395315
38	0.2787538668
39	0.2780795518
40	0.2776993837
41	0.2774825553
42	0.2772380387
43	0.2770307613
44	0.27644475
45	0.2759001713
46	0.27528567
47	0.274733551
48	0.2743114104
49	0.2740194623
50	0.273614854
51	0.273291133
52	0.2730223278
53	0.2728248705
54	0.2725801561
55	0.2723199015
56	0.2720620798
57	0.2718757164
58	0.271556644
59	0.271227511
60	0.2710203013
61	0.2707689625
62	0.2705422882
63	0.2702752309
64	0.2698813398
65	0.2696403644
66	0.2694156216
67	0.2691703745
68	0.268920331
69	0.2686287427
70	0.2684007695
71	0.2681193568
72	0.2679614887
73	0.2676792163
74	0.2674853919
75	0.2672927693
76	0.2672164121
77	0.2670448656
78	0.2669018162
79	0.2667206778
80	0.266582514
81	0.2663849542
82	0.2662005391
83	0.2660339904
84	0.2658474355
85	0.2656369011
86	0.2654379097
87	0.2653188514
88	0.2651101459
89	0.2650204872
90	0.2648972864
91	0.2646202513
92	0.2644605062
93	0.2641914088
94	0.2639520824
95	0.2638234535
96	0.263617034
97	0.2634614635
98	0.2631982913
99	0.263026311
100	0.2628664046
101	0.2627316893
102	0.2624950409
103	0.2623923104
104	0.2621837555
105	0.2620215445
106	0.2618310644
107	0.261681085
108	0.2615881514
109	0.2614944695
110	0.2613083475
111	0.2612031057
112	0.2610296564
113	0.2608747246
114	0.2606532842
115	0.2604247035
116	0.2603536674
117	0.2602543312
118	0.2601499277
119	0.260024391
120	0.2598928668
121	0.2597137408
122	0.2595937267
123	0.2594482229
124	0.2592921339
125	0.2591889857
126	0.2590674071
127	0.2589352014
128	0.2587965761
129	0.2586393263
130	0.2585502038
131	0.2582998539
132	0.2581965149
133	0.2580298255
134	0.257933259
135	0.257830426
136	0.2576941125
137	0.2575823995
138	0.2574332521
139	0.2572732005
140	0.257041508
141	0.2568902163
142	0.2567611304
143	0.2566103724
144	0.2563605195
145	0.2562717445
146	0.2561612875
147	0.2560165651
148	0.2557735897
149	0.2556588388
150	0.2555015035
151	0.2553359045
152	0.2551878823
153	0.2550245755
154	0.2549187011
155	0.2547143823
156	0.2545487414
157	0.254480696
158	0.254336166
159	0.2541550775
160	0.2540245662
161	0.2539191961
162	0.2538113841
163	0.2536459401
164	0.2535225959
165	0.2533301381
166	0.2532056847
167	0.2530528919
168	0.252930328
169	0.2527945214
170	0.2526448654
171	0.2525615104
172	0.2523873733
173	0.2521608318
174	0.2520757868
175	0.2519020765
176	0.2516761675
177	0.2515917354
178	0.251468711
179	0.2512892946
180	0.2512133241
181	0.2511162631
182	0.2509226694
183	0.2507373003
184	0.2505498456
185	0.2504463837
186	0.2502962546
187	0.2502000257
188	0.2500638886
189	0.2498548847
190	0.2496643654
191	0.2495169891
192	0.2493180832
193	0.2491382615
194	0.2489798892
195	0.2487627802
196	0.2485898939
197	0.2484235706
198	0.248255739
199	0.2482061845
200	0.248024059
201	0.2478993597
202	0.2476885607
203	0.247598151
204	0.2473660549
205	0.2472366313
206	0.2471035223
207	0.2469929361
208	0.2468150093
209	0.2466492722
210	0.2463975066
211	0.2463390541
212	0.2461473803
213	0.2460695772
214	0.2460078641
215	0.2458470651
216	0.2457023132
217	0.2455165236
218	0.2453692845
219	0.245221387
220	0.2450599216
221	0.2448829489
222	0.2447427084
223	0.244716157
224	0.2445342444
225	0.244428477
226	0.2443570828
227	0.2441946704
228	0.2441258223
229	0.2440735319
230	0.2440373627
231	0.2438764799
232	0.2437528551
233	0.243672301
234	0.2435476338
235	0.2434491964
236	0.2432731484
237	0.2431018959
238	0.242930966
239	0.2427850578
240	0.2426114178
241	0.2425268094
242	0.242324161
243	0.24225852
244	0.242062015
245	0.2419433718
246	0.2417741808
247	0.2417351537
248	0.2416253925
249	0.2415531511
250	0.2415132509
251	0.2413245588
252	0.2411556663
253	0.2409962606
254	0.2408992646
255	0.2407690954
256	0.2406316371
257	0.2405326626
258	0.2405177156
259	0.2404654769
260	0.2403308444
261	0.2401971848
262	0.2400871929
263	0.2399662834
264	0.2397388038
265	0.239610623
266	0.2394674445
267	0.2393227897
268	0.2392255809
269	0.2390526696
270	0.2388963998
271	0.2387489353
272	0.2386004828
273	0.2384011083
274	0.2382716019
275	0.2381565026
276	0.2380452341
277	0.2378255576
278	0.237681375
279	0.2375432219
280	0.2375231417
281	0.2373863765
282	0.2373661761
283	0.237208455
284	0.2370450484
285	0.2368929336
286	0.2368082129
287	0.2366231974
288	0.2365580563
289	0.2363799611
290	0.2362101162
291	0.2360226445
292	0.235864772
293	0.2357158019
294	0.2355611562
295	0.2353925798
296	0.2353011367
297	0.2351985131
298	0.2351624553
299	0.2349958718
300	0.2348662086
301	0.2347824323
302	0.2347402479
303	0.2345981821
304	0.2344683772
305	0.2343617572
306	0.234301033
307	0.2341538669
